Hole,Yards,Par,Handicap
1,486,5,9
2,311,4,13
3,359,4,3
4,158,3,15
5,299,4,17
6,180,3,5
7,362,4,1
8,364,4,11
9,517,5,7
10,279,4,18
11,322,4,6
12,143,3,16
13,495,5,10
14,201,3,2
15,312,4,12
16,414,4,4
17,481,5,14
18,365,4,8
