Hole,Yards,Par,Handicap
1,454,5,3
2,182,3,9
3,336,4,11
4,353,4,1
5,152,3,17
6,228,4,15
7,318,4,13
8,484,5,5
9,362,4,7
10,370,4,10
11,388,4,4
12,445,5,8
13,370,4,2
14,343,4,12
15,137,3,16
16,291,4,14
17,157,3,18
18,545,5,6
